user_id,name,flight_id,seat,meal
user_3688,Name_55,FL590,Window,Vegetarian
user_4360,Name_85,FL535,Window,Vegan
user_4246,Name_65,FL455,Window,Vegetarian
user_4330,Name_67,FL414,Middle,Non-Vegetarian
user_5431,Name_75,FL445,Middle,Non-Vegetarian
user_3627,Name_66,FL651,Middle,Vegetarian
user_4947,Name_81,FL670,Window,Non-Vegetarian
user_4767,Name_57,FL543,Middle,Vegetarian
user_4955,Name_66,FL477,Middle,Vegan
user_3271,Name_63,FL302,Middle,Vegan
user_4458,Name_70,FL618,Window,Vegetarian
user_5982,Name_74,FL428,Window,Vegan
user_5420,Name_81,FL560,Middle,Non-Vegetarian
user_5300,Name_81,FL377,Middle,Vegan
user_4623,Name_77,FL610,Window,Non-Vegetarian
user_5804,Name_76,FL528,Middle,Non-Vegetarian
user_5032,Name_82,FL512,Aisle,Vegetarian
user_5298,Name_81,FL407,Aisle,Non-Vegetarian
user_4378,Name_79,FL587,Aisle,Vegetarian
user_4429,Name_77,FL641,Middle,Vegan
user_4432,Name_61,FL487,Middle,Vegan
user_3777,Name_70,FL454,Window,Non-Vegetarian
user_4940,Name_71,FL409,Window,Vegetarian
user_6264,Name_74,FL576,Aisle,Vegetarian
user_4942,Name_74,FL477,Aisle,Vegan
user_2394,Name_81,FL435,Middle,Vegan
user_3198,Name_72,FL546,Middle,Vegan
user_4330,Name_75,FL676,Middle,Vegetarian
user_4819,Name_75,FL474,Window,Vegetarian
user_4098,Name_63,FL484,Window,Vegan
user_5697,Name_69,FL562,Aisle,Vegetarian
user_5579,Name_78,FL321,Middle,Non-Vegetarian
user_4011,Name_83,FL456,Aisle,Vegetarian
user_7368,Name_86,FL638,Aisle,Vegan
user_5504,Name_60,FL572,Middle,Vegan
user_5157,Name_70,FL507,Aisle,Non-Vegetarian
user_4131,Name_72,FL645,Middle,Non-Vegetarian
user_6111,Name_63,FL663,Middle,Non-Vegetarian
user_5447,Name_67,FL458,Window,Non-Vegetarian
user_4965,Name_82,FL544,Aisle,Non-Vegetarian
user_3957,Name_71,FL573,Window,Non-Vegetarian
user_5636,Name_53,FL559,Aisle,Vegan
user_5796,Name_74,FL470,Window,Vegan
user_4172,Name_74,FL554,Middle,Vegetarian
user_3635,Name_74,FL427,Aisle,Vegan
